stockid,council
ALPLAICBSAI,NPFMC
ARFLOUNDBSAI,NPFMC
ARFLOUNDGA,NPFMC
ATKABSAI,NPFMC
DSOLEGA,NPFMC
DUSROCKGA,NPFMC
FLSOLEBSAI,NPFMC
FLSOLEGA,NPFMC
NROCKBSAI,NPFMC
NROCKGA,NPFMC
NRSOLEEBSAI,NPFMC
PCODGA,NPFMC
PERCHEBSAI,NPFMC
POPERCHGA,NPFMC
REXSOLEGA,NPFMC
RKCRABBB,NPFMC
SABLEFEBSAIGA,NPFMC
SNOWCRABBS,NPFMC
SRAKEROCKBSAI,NPFMC
TANNERCRABBSAI,NPFMC
WPOLLAI,NPFMC
WPOLLGA,NPFMC
YSOLEBSAI,NPFMC
BNOSESHARATL,HMS
BRNSHRIMPGM,GMFMC
GRAMBERGM,GMFMC
GTRIGGM,GMFMC
MENATGM,GMFMC
PINKSHRIMPGM,GMFMC
RGROUPGM,GMFMC
RSNAPGM,GMFMC
SBARSHARATL,HMS
VSNAPGM,GMFMC
WSHRIMPGM,GMFMC
BlackSeaBass,SAFMC
RedSnapper,SAFMC
Vermilionsnapper,SAFMC
KingMackerel,SAFMC
RedPorgy,SAFMC
Tilefish,SAFMC
Gag,SAFMC
SnowyGrouper,SAFMC
SABluelineTilefish,SAFMC
GoliathGrouper,SAFMC
GreaterAmberjack,SAFMC
MuttonSnapper,SAFMC
RedGrouper,SAFMC
SpanishMackerel,SAFMC
YellowtailSnapper,SAFMC
GrayTriggerfish,SAFMC
Hogfish,SAFMC
Scamp,SAFMC
SpinyLobster,SAFMC
ARFLOUNDPCOAST,NPFMC
BOCACCSPCOAST,PFMC
CALSCORPSCAL,PFMC
CHILISPCOAST,PFMC
COWCODSCAL,PFMC
CROCKPCOAST,PFMC
DKROCKPCOAST,PFMC
KELPGREENLINGORECOAST,PFMC
PHAKEPCOAST,US non-federal
PSOLEPCOAST,PFMC
SABLEFPCOAST,PFMC
SARDPCOAST,PFMC
SSTHORNHPCOAST,PFMC
WROCKPCOAST,PFMC
YEYEROCKPCOAST,PFMC
ACADREDGOMGB,NEFMC
AMPL5YZ,NEFMC
BLUEFISHATLC,MAFMC
BSBASSMATLC,MAFMC
CODGOM,NEFMC
HAD5Y,NEFMC
HADGB,NEFMC
HERRNWATLC,NEFMC
MENATLAN,ASMFC
MONKGOMNGB,NEFMC
MONKSGBMATL,NEFMC
POLL5YZ,NEFMC
QUAHATLC,MAFMC
SCUPNWATLC,MAFMC
SDOGATLC,MAFMC
SFLOUNMATLC,MAFMC
SURFMATLC,MAFMC
WHAKEGBGOM,NEFMC
WINFLOUN5Z,NEFMC
WITFLOUN5Y,NEFMC
YELLCCODGOM,NEFMC
YELLSNEMATL,NEFMC