"stockid","region","council"
"ACADREDGOMGB","US East Coast","NEFMC"
"ALBANATL","Atlantic Ocean","AOHS"
"ALBANPAC","Pacific Ocean","POHS"
"ALPLAICBSAI","US Alaska","NPFMC"
"AMPL23K","Canada East Coast","Canada East Coast"
"AMPL5YZ","US East Coast","NEFMC"
"ANCHMEDGSA17-18","Mediterranean-Black Sea","MBS"
"ANCHOBAYB","Europe (EU)","Europe (EU)"
"ANCHOSA","South Africa","South Africa"
"ANGLMEDGSA15-16","Mediterranean-Black Sea","MBS"
"ARFLOUNDBSAI","US Alaska","NPFMC"
"ARFLOUNDGA","US Alaska","NPFMC"
"ARFLOUNDPCOAST","US West Coast","NPFMC"
"ARGANCHONARG","South America","South America"
"ARGANCHOSARG","South America","South America"
"ARGHAKENARG","South America","South America"
"ARGHAKESARG","South America","South America"
"ATBTUNAEATL","Atlantic Ocean","AOHS"
"ATBTUNAWATL","Atlantic Ocean","AOHS"
"ATKABSAI","US Alaska","NPFMC"
"atmackerel","US East Coast","MAFMC"
"AUSSALMONNZ","New Zealand","New Zealand"
"BGRDRNSWWA","Australia","Australia"
"BIGEYEATL","Atlantic Ocean","AOHS"
"BIGEYECWPAC","Pacific Ocean","POHS"
"BIGHTREDSE","Australia","Australia"
"BlackSeaBass","US South Atlantic","SAFMC"
"BLINGVb-VI-VII","Europe (EU)","Europe (EU)"
"BLUEFISHATLC","US East Coast","MAFMC"
"BNOSESHARATL","US Southeast and Gulf","AOHS"
"BOCACCSPCOAST","US West Coast","PFMC"
"BRNSHRIMPGM","US Southeast and Gulf","GMFMC"
"BSBASSMATLC","US East Coast","MAFMC"
"BWHITNEA","Europe (EU)","Europe (EU)"
"CALSCORPSCAL","US West Coast","PFMC"
"CAPENOR","Europe (non-EU)","Europe (non-EU)"
"CHAKESA","South Africa","South Africa"
"CHILISPCOAST","US West Coast","PFMC"
"CMACKPJPN","Japan","Japan"
"COD2J3KL","Canada East Coast","Canada East Coast"
"COD3Pn4RS","Canada East Coast","Canada East Coast"
"COD3Ps","Canada East Coast","Canada East Coast"
"COD4TVn","Canada East Coast","Canada East Coast"
"CODBA2224","Europe (EU)","Europe (EU)"
"CODBA2532","Europe (EU)","Europe (EU)"
"CODFAPL","Europe (non-EU)","Europe (non-EU)"
"CODGOM","US East Coast","NEFMC"
"CODICE","Europe (non-EU)","Europe (non-EU)"
"CODIIIaW-IV-VIId","Europe (EU)","Europe (EU)"
"CODIS","Europe (EU)","Europe (EU)"
"CODNEAR","Europe (non-EU)","Europe (non-EU)"
"CODNEARNCW","Europe (non-EU)","Europe (non-EU)"
"CODVIa","Europe (EU)","Europe (EU)"
"CODVIIek","Europe (EU)","Europe (EU)"
"COWCODSCAL","US West Coast","PFMC"
"CRLOBSTERSA12","South Africa","South Africa"
"CRLOBSTERSA34","South Africa","South Africa"
"CRLOBSTERSA56","South Africa","South Africa"
"CRLOBSTERSA7","South Africa","South Africa"
"CRLOBSTERSA8","South Africa","South Africa"
"CROCKPCOAST","US West Coast","PFMC"
"CUSKVa-XIV","Europe (EU)","Europe (EU)"
"DEEPCHAKESA","South Africa","South Africa"
"DEEPFLATHEADSE","Australia","Australia"
"DKROCKPCOAST","US West Coast","PFMC"
"DSOLEGA","US Alaska","NPFMC"
"DUSROCKGA","US Alaska","NPFMC"
"EBASSIVbc-VII","Europe (EU)","Europe (EU)"
"FLSOLEBSAI","US Alaska","NPFMC"
"FLSOLEGA","US Alaska","NPFMC"
"FMEG8c9a","Europe (EU)","Europe (EU)"
"Gag","US South Atlantic","SAFMC"
"GHALNEAR","Europe (non-EU)","Europe (non-EU)"
"GOLDREDNEAR","Europe (non-EU)","Europe (non-EU)"
"GOLDREDV-VI-XII-XIV","Europe (EU)","Europe (EU)"
"GRAMBERGM","US Southeast and Gulf","GMFMC"
"GreaterAmberjack","US South Atlantic","SAFMC"
"GTRIGGM","US Southeast and Gulf","GMFMC"
"HAD4X5Y","Canada East Coast","Canada East Coast"
"HAD5Y","US East Coast","NEFMC"
"HADFAPL","Europe (non-EU)","Europe (non-EU)"
"HADGB","US East Coast","NEFMC"
"HADICE","Europe (non-EU)","Europe (non-EU)"
"HADIS","Europe (EU)","Europe (EU)"
"HADNEAR","Europe (non-EU)","Europe (non-EU)"
"HADNS-IIIa-VIa","Europe (EU)","Europe (EU)"
"HADROCK","Europe (EU)","Europe (EU)"
"HADVIIb-k","Europe (EU)","Europe (EU)"
"HAKENRTN","Europe (EU)","Europe (EU)"
"HAKESOTH","Europe (EU)","Europe (EU)"
"HERR2224IIIa","Europe (EU)","Europe (EU)"
"HERR2529-32","Europe (EU)","Europe (EU)"
"HERR30-31","Europe (EU)","Europe (EU)"
"HERR4TFA","Canada East Coast","Canada East Coast"
"HERR4TSP","Canada East Coast","Canada East Coast"
"HERRCC","Canada West Coast","Canada West Coast"
"HERRIsum","Europe (non-EU)","Europe (non-EU)"
"HERRNIRS","Europe (EU)","Europe (EU)"
"HERRNORSS","Europe (non-EU)","Europe (non-EU)"
"HERRNS-IIIa-VIId","Europe (EU)","Europe (EU)"
"HERRNWATLC","US East Coast","NEFMC"
"HERRPRD","Canada West Coast","Canada West Coast"
"HERRQCI","Canada West Coast","Canada West Coast"
"HERRRIGA","Europe (EU)","Europe (EU)"
"HERRSIRS","Europe (EU)","Europe (EU)"
"HERRSOG","Canada West Coast","Canada West Coast"
"HERRVIa","Europe (EU)","Europe (EU)"
"HERRVIaVIIbc","Europe (EU)","Europe (EU)"
"HERRWCVANI","Canada West Coast","Canada West Coast"
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Europe (EU)","Europe (EU)"
"HMACKIXa","Europe (EU)","Europe (EU)"
"HOKIENZ","New Zealand","New Zealand"
"HOKIWNZ","New Zealand","New Zealand"
"JMACKPJPN","Japan","Japan"
"JMACKTSST","Japan","Japan"
"KELPGREENLINGORECOAST","US West Coast","PFMC"
"KingMackerel","US South Atlantic","SAFMC"
"LINGVa","Europe (non-EU)","Europe (non-EU)"
"MACKNEICES","Europe (EU)","Europe (EU)"
"MACKNWATLSA3-4","Canada East Coast","Canada East Coast"
"MEG8c9a","Europe (EU)","Europe (EU)"
"MEGVII-VIIIabd","Europe (EU)","Europe (EU)"
"MENATGM","US Southeast and Gulf","GMFMC"
"MENATLAN","US East Coast","US non-federal"
"MONKGOMNGB","US East Coast","NEFMC"
"MONKSGBMATL","US East Coast","NEFMC"
"MORWONGESE","Australia","Australia"
"MORWONGWSE","Australia","Australia"
"MuttonSnapper","US South Atlantic","SAFMC"
"NEPHMEDGSA5","Mediterranean-Black Sea","MBS"
"NEPHMEDGSA9","Mediterranean-Black Sea","MBS"
"NPOUTIIIa-IV","Europe (EU)","Europe (EU)"
"NROCKBSAI","US Alaska","NPFMC"
"NROCKGA","US Alaska","NPFMC"
"NRSOLEEBSAI","US Alaska","NPFMC"
"OFLOUNECS","Japan","Japan"
"OFLOUNNSJ","Japan","Japan"
"OFLOUNPAC","Japan","Japan"
"OFLOUNSETO","Japan","Japan"
"OROUGHYSE","Australia","Australia"
"PACBTUNA","Pacific Ocean","POHS"
"PANCHPERUNC","South America","South America"
"PATGRENADIERCH","South America","South America"
"PATGRENADIERSARG","South America","South America"
"PAUANPAU5A","New Zealand","New Zealand"
"PAUAPAU5B","New Zealand","New Zealand"
"PAUAPAU5D","New Zealand","New Zealand"
"PAUAPAU7","New Zealand","New Zealand"
"PAUASPAU5A","New Zealand","New Zealand"
"PCODGA","US Alaska","NPFMC"
"PCODHS","Canada West Coast","Canada West Coast"
"PERCHEBSAI","US Alaska","NPFMC"
"PHAKEPCOAST","US West Coast","US non-federal"
"PILCHPJPN","Japan","Japan"
"PILCHTSST","Japan","Japan"
"PINKSHRIMPGM","US Southeast and Gulf","GMFMC"
"PLAIC2123","Europe (EU)","Europe (EU)"
"PLAIC7d","Europe (EU)","Europe (EU)"
"PLAICECHW","Europe (EU)","Europe (EU)"
"PLAICIS","Europe (EU)","Europe (EU)"
"PLAICNS","Europe (EU)","Europe (EU)"
"POLL5YZ","US East Coast","NEFMC"
"POLLFAPL","Europe (non-EU)","Europe (non-EU)"
"POLLIEG","Europe (non-EU)","Europe (non-EU)"
"POLLNEAR","Europe (non-EU)","Europe (non-EU)"
"POLLNS-VI-IIIa","Europe (EU)","Europe (EU)"
"POPERCHGA","US Alaska","NPFMC"
"PSHRMPMEDGSA6","Mediterranean-Black Sea","MBS"
"PSOLEPCOAST","US West Coast","PFMC"
"PTOOTHFISHCH","South America","South America"
"PTOOTHFISHPEI","South Africa","South Africa"
"QUAHATLC","US East Coast","MAFMC"
"RBRMECS","Japan","Japan"
"RBRMSETOE","Japan","Japan"
"RBRMSETOW","Japan","Japan"
"RDSHRMPMEDGSA6","Mediterranean-Black Sea","MBS"
"REDDEEPI-II","Europe (non-EU)","Europe (non-EU)"
"REDFEAUS","Australia","Australia"
"REDFISHSPP3M","Canada East Coast","Canada East Coast"
"RedGrouper","US South Atlantic","SAFMC"
"RedPorgy","US South Atlantic","SAFMC"
"RedSnapper","US South Atlantic","SAFMC"
"REXSOLEGA","US Alaska","NPFMC"
"RGROUPGM","US Southeast and Gulf","GMFMC"
"RKCRABBB","US Alaska","NPFMC"
"RROCKLOBSTERCRA1","New Zealand","New Zealand"
"RROCKLOBSTERCRA2","New Zealand","New Zealand"
"RROCKLOBSTERCRA3","New Zealand","New Zealand"
"RROCKLOBSTERCRA4","New Zealand","New Zealand"
"RROCKLOBSTERCRA5","New Zealand","New Zealand"
"RROCKLOBSTERCRA7","New Zealand","New Zealand"
"RROCKLOBSTERCRA8","New Zealand","New Zealand"
"RSHRMPMEDGSA1","Mediterranean-Black Sea","MBS"
"RSNAPGM","US Southeast and Gulf","GMFMC"
"RSOLEHSTR","Canada West Coast","Canada West Coast"
"SAABALONESA","South Africa","South Africa"
"SABLEFEBSAIGA","US Alaska","NPFMC"
"SABLEFPCOAST","US West Coast","PFMC"
"SABluelineTilefish","US South Atlantic","SAFMC"
"SARDMEDGSA17-18","Mediterranean-Black Sea","MBS"
"SARDMEDGSA6","Mediterranean-Black Sea","MBS"
"SARDPCOAST","US West Coast","PFMC"
"SARDPVIIIc-IXa","Europe (EU)","Europe (EU)"
"SARDSA","South Africa","South Africa"
"SAURNWPAC","Japan","Japan"
"SBARSHARATL","US Southeast and Gulf","AOHS"
"SBT","Indian Ocean","IOHS"
"SBWHITACIR","New Zealand","New Zealand"
"SBWHITARGS","South America","South America"
"SBWHITCH","South America","South America"
"SCALLGB","Canada East Coast","Canada East Coast"
"SCMPBP","New Zealand","New Zealand"
"SCMPWHB","New Zealand","New Zealand"
"SCUPNWATLC","US East Coast","MAFMC"
"SDOGATLC","US East Coast","MAFMC"
"SEELNSSA1","Europe (EU)","Europe (EU)"
"SEELNSSA2","Europe (EU)","Europe (EU)"
"SEELNSSA3","Europe (EU)","Europe (EU)"
"SEELNSSA4","Europe (EU)","Europe (EU)"
"SFLOUNMATLC","US East Coast","MAFMC"
"SILVERFISHSE","Australia","Australia"
"SMOOTHOREOCR","New Zealand","New Zealand"
"SMULLMEDGSA9","Mediterranean-Black Sea","MBS"
"SNOWCRABBS","US Alaska","NPFMC"
"SNOWCRABSGSL","Canada East Coast","Canada East Coast"
"SnowyGrouper","US South Atlantic","SAFMC"
"SOLECS","Europe (EU)","Europe (EU)"
"SOLEIIIa-2224","Europe (EU)","Europe (EU)"
"SOLEIS","Europe (EU)","Europe (EU)"
"SOLENS","Europe (EU)","Europe (EU)"
"SOLEVIId","Europe (EU)","Europe (EU)"
"SOLEVIIe","Europe (EU)","Europe (EU)"
"SOLEVIIIab","Europe (EU)","Europe (EU)"
"SOLMEDGSA17","Mediterranean-Black Sea","MBS"
"SOUTHHAKECH","South America","South America"
"SOUTHHAKESA","New Zealand","New Zealand"
"SpanishMackerel","US South Atlantic","SAFMC"
"SPANMACKSETO","Japan","Japan"
"SPHAKECH","South America","South America"
"SPRAT22-32","Europe (EU)","Europe (EU)"
"SPRATNS","Europe (EU)","Europe (EU)"
"SPRBLKGSA29","Mediterranean-Black Sea","MBS"
"SPURDNEATL","Europe (EU)","Europe (EU)"
"SRAKEROCKBSAI","US Alaska","NPFMC"
"SSARDCH","South America","South America"
"SSLOBSTERSASC","South Africa","South Africa"
"SSTHORNHPCOAST","US West Coast","PFMC"
"STMARLINWCNPAC","Pacific Ocean","POHS"
"SURFMATLC","US East Coast","MAFMC"
"SWHITSE","Australia","Australia"
"TANNERCRABBSAI","US Alaska","NPFMC"
"TIGERFLATSE","Australia","Australia"
"Tilefish","US South Atlantic","SAFMC"
"TURBLKGSA29","Mediterranean-Black Sea","MBS"
"Vermilionsnapper","US South Atlantic","SAFMC"
"VSNAPGM","US Southeast and Gulf","GMFMC"
"WANGLVIIIc-IXa","Europe (EU)","Europe (EU)"
"WAREHOUESE","Australia","Australia"
"WAREHOUWSE","Australia","Australia"
"WHAKEGBGOM","US East Coast","NEFMC"
"WHITMEDGSA29","Mediterranean-Black Sea","MBS"
"WHITNS-VIId","Europe (EU)","Europe (EU)"
"WHITVIa","Europe (EU)","Europe (EU)"
"WHITVIIa","Europe (EU)","Europe (EU)"
"WHITVIIek","Europe (EU)","Europe (EU)"
"WINFLOUN5Z","US East Coast","NEFMC"
"WITFLOUN5Y","US East Coast","NEFMC"
"WPOLLAI","US Alaska","NPFMC"
"WPOLLGA","US Alaska","NPFMC"
"WROCKPCOAST","US West Coast","PFMC"
"WSHRIMPGM","US Southeast and Gulf","GMFMC"
"YELLCCODGOM","US East Coast","NEFMC"
"YellowtailSnapper","US South Atlantic","SAFMC"
"YELLSNEMATL","US East Coast","NEFMC"
"YEYEROCKPCOAST","US West Coast","PFMC"
"YFINATL","Atlantic Ocean","AOHS"
"YSOLEBSAI","US Alaska","NPFMC"
